postionInDataBase,	memberNumber,	created,	ParetoRank,	distToRegOfInt,	fitness0,	fitness1,	flowparam0,	flowparam1,	flowparam2,	flowparam3,	scaled_WB.CA,	scaled_WB.SD,	scaled_WB.SH,	scaled_WB.FA,	scaled_WB.FH,	scaled_WB.FW,	scaled_WB.P,	WB.CA,	WB.SD,	WB.SH,	WB.FA,	WB.FH,	WB.FW,	WB.P,	AGdivTime,	AreaGain,	AreaGain_currentObjectives,	MEMBEROPTIMIZATIONFLAG,	MM_fit0,	MM_fit1,	MM_flowparam0,	MM_flowparam1,	MM_flowparam2,	MMdev_fit0,	MMdev_fit1,	MMdev_flowparam0,	MMdev_flowparam1,	MMdev_flowparam2,	MMexpImpr,	MetaModel,	NUOFMEMBEREXPIMPR,	TimeStamp,	UDP_Name,	VarianceExpImpr2ROI,	VarianceMMexpImpr,	cpuSecondsCreated6,	cpuSecondsUDP,	expImpr2ROI,	numbMembCreatedOfBest,	numberWhenCreated,	probOfFullfillROI,	probOfImpROI,	probOfImpr,	remainingProcesses,	secondsCreated6,	secondsUDP,	timeOfProcess0,	timeOfProcess1,	timeOptiOnMMofBest,	timeTraining,	cumulativeVolumeGain,	cumulativeVolumeGain_currentObjectives,	cumTimeTraining,	cumTimeOptiOnMM,	cumTimeUDP,	cumTimeOptiOnMMofBest,	fidelity,	
595,	0,	0,	29,	0,	0.389315,	37.0689,	0.389315,	37.0689,	0.0005,	0,	0.5,	0.5,	0.5,	0.5,	0.5,	0.5,	0.5,	67.5,	10,	3,	15,	4,	1.25,	15,	0,	0,	0,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50601e+09,	0,	nan,	nan,	nan,	31601.6,	nan,	nan,	nan,	nan,	nan,	nan,	0,	nan,	5649.56,	1.00963,	5648.55,	nan,	nan,	0,	0,	0,	0,	5649.56,	0,	0,	
593,	1,	0,	28,	0,	0.397417,	33.9694,	0.397417,	33.9694,	0.000500079,	0,	0,	0.666667,	0.555556,	1,	0.111111,	0,	0.555556,	45,	12.6667,	3.11111,	30,	2.44444,	0.5,	15.5556,	0,	0,	0,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50601e+09,	0,	nan,	nan,	nan,	28167.7,	nan,	nan,	1,	nan,	nan,	nan,	0,	nan,	5179.56,	1.00582,	5178.56,	nan,	nan,	0,	0,	0,	0,	10829.1,	0,	0,	
610,	2,	0,	31,	0,	0.395479,	46.4505,	0.395479,	46.4505,	0.0005,	0,	0.777778,	1,	0,	0.666667,	1,	0.888889,	0.444444,	80,	18,	2,	20,	6,	1.83333,	14.4444,	0,	0,	0,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50601e+09,	0,	nan,	nan,	nan,	37114,	nan,	nan,	2,	nan,	nan,	nan,	0,	nan,	6581.01,	1.005,	6580,	nan,	nan,	0,	0,	0,	0,	17410.1,	0,	0,	
601,	3,	0,	29,	0,	0.381532,	41.7111,	0.381532,	41.7111,	0.000500001,	0,	0.222222,	0.555556,	0.666667,	0.444444,	0.222222,	0.333333,	0.888889,	55,	10.8889,	3.33333,	13.3333,	2.88889,	1,	18.8889,	2.04895e-06,	0.0121166,	0.0121166,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50601e+09,	0,	nan,	nan,	nan,	33168.7,	nan,	nan,	3,	nan,	nan,	nan,	0,	nan,	5913.56,	1.00573,	5912.56,	nan,	nan,	0.0121166,	0.0121166,	0,	0,	23323.7,	0,	0,	
622,	4,	0,	43,	0.000426043,	0.0483855,	31.8541,	0.0483855,	31.8541,	6.39565e-05,	0,	0.555556,	0,	0.888889,	0,	0.777778,	0.666667,	0,	70,	2,	3.77778,	0,	5.11111,	1.5,	10,	0,	0,	0,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50602e+09,	0,	nan,	nan,	nan,	31309.3,	nan,	nan,	4,	nan,	nan,	nan,	0,	nan,	5631.15,	1.00676,	5630.15,	nan,	nan,	0.0121166,	0.0121166,	0,	0,	28954.8,	0,	0,	
447,	5,	0,	16,	0,	0.365807,	57.3091,	0.365807,	57.3091,	0.000500061,	0,	0.333333,	0.111111,	0.777778,	0.222222,	0.888889,	0.555556,	0.666667,	60,	3.77778,	3.55556,	6.66667,	5.55556,	1.33333,	16.6667,	0,	0,	0,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50602e+09,	0,	nan,	nan,	nan,	35043.2,	nan,	nan,	5,	nan,	nan,	nan,	0,	nan,	6266.65,	1.0077,	6265.64,	nan,	nan,	0.0121166,	0.0121166,	0,	0,	35221.5,	0,	0,	
558,	6,	0,	23,	0,	0.398253,	27.9321,	0.398253,	27.9321,	0.000500001,	0,	0.888889,	0.333333,	0.444444,	0.888889,	0.333333,	0.111111,	0.111111,	85,	7.33333,	2.88889,	26.6667,	3.33333,	0.666667,	11.1111,	0.000704265,	3.63293,	3.63293,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50602e+09,	0,	nan,	nan,	nan,	28665.9,	nan,	nan,	6,	nan,	nan,	nan,	0,	nan,	5158.46,	1.01263,	5157.45,	nan,	nan,	3.64504,	3.64504,	0,	0,	40380,	0,	0,	
602,	7,	0,	29,	0,	0.385963,	40.4256,	0.385963,	40.4256,	0.000500007,	0,	0.666667,	0.444444,	0.111111,	0.777778,	0,	0.444444,	1,	75,	9.11111,	2.22222,	23.3333,	2,	1.16667,	20,	8.70201e-07,	0.004309,	0.004309,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50602e+09,	0,	nan,	nan,	nan,	27168.6,	nan,	nan,	7,	nan,	nan,	nan,	0,	nan,	4951.73,	1.03487,	4950.69,	nan,	nan,	3.64935,	3.64935,	0,	0,	45331.7,	0,	0,	
592,	8,	0,	28,	0,	0.392716,	34.6002,	0.392716,	34.6002,	0.000499999,	0,	0.444444,	0.222222,	0.333333,	0.555556,	0.444444,	1,	0.333333,	65,	5.55556,	2.66667,	16.6667,	3.77778,	2,	13.3333,	1.96934e-06,	0.0116054,	0.0116054,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50602e+09,	0,	nan,	nan,	nan,	32652.5,	nan,	nan,	8,	nan,	nan,	nan,	0,	nan,	5893.01,	1.04088,	5891.97,	nan,	nan,	3.66096,	3.66096,	0,	0,	51224.7,	0,	0,	
579,	9,	0,	26,	0,	0.383724,	35.3835,	0.383724,	35.3835,	0.000500001,	0,	0.111111,	0.777778,	1,	0.111111,	0.555556,	0.777778,	0.222222,	50,	14.4444,	4,	3.33333,	4.22222,	1.66667,	12.2222,	6.16026e-06,	0.0368007,	0.0368007,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50602e+09,	0,	nan,	nan,	nan,	33044.1,	nan,	nan,	9,	nan,	nan,	nan,	0,	nan,	5973.89,	1.0148,	5972.87,	nan,	nan,	3.69776,	3.69776,	0,	0,	57198.6,	0,	0,	
608,	10,	0,	30,	0,	0.398621,	40.9939,	0.398621,	40.9939,	0.0005,	0,	1,	0.888889,	0.222222,	0.333333,	0.666667,	0.222222,	0.777778,	90,	16.2222,	2.44444,	10,	4.66667,	0.833333,	17.7778,	0,	0,	0,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50602e+09,	0,	nan,	nan,	nan,	33175.5,	nan,	nan,	10,	nan,	nan,	nan,	0,	nan,	5997.15,	1.0167,	5996.13,	nan,	nan,	3.69776,	3.69776,	0,	0,	63195.7,	0,	0,	
581,	11,	6,	26,	0,	0.374634,	47.1297,	0.374634,	47.1297,	0.000500003,	0,	0.602638,	0.999026,	0.822682,	0.183892,	0.772431,	0.589024,	0.673958,	72.1187,	17.9844,	3.64536,	5.51676,	5.08972,	1.38354,	16.7396,	1.1076e-05,	0.0702175,	0.0702175,	666,	0.352545,	39.5901,	0.352545,	39.5901,	0.000494909,	0.0123628,	8.69347,	0.0123148,	8.65973,	2.25152e-06,	0.881987,	0,	1000,	1.50602e+09,	0,	0,	1.41639,	2199.44,	33985.5,	0,	960,	11,	0.99,	0,	0.95,	0,	240.27,	6099.33,	1.01518,	6098.31,	3.21,	237.03,	3.76798,	3.76798,	237.03,	3.24,	69295.1,	3.21,	0,	
600,	12,	6,	29,	0,	0.380073,	54.2006,	0.380073,	54.2006,	0.000500006,	0,	0.634024,	0.999927,	0.852123,	0.150844,	0.837355,	0.767628,	0.640278,	73.5311,	17.9988,	3.70425,	4.52532,	5.34942,	1.65144,	16.4028,	0,	0,	0,	666,	0.337512,	39.0357,	0.337512,	39.0357,	0.000496127,	0.0132026,	8.3461,	0.0131514,	8.31371,	5.50853e-06,	0.401215,	0,	1000,	1.50603e+09,	0,	0,	0.744079,	77.32,	35070.1,	0,	896,	12,	0.87,	0,	0.59,	0,	8.64,	6272.36,	1.00761,	6271.36,	8.55,	nan,	3.76798,	3.76798,	237.03,	11.88,	75567.4,	11.76,	0,	
591,	13,	6,	28,	0,	0.379134,	38.5744,	0.379134,	38.5744,	0.000500082,	0,	0.785129,	0.262476,	0.0635127,	0.000159624,	0.326515,	0.0412904,	0.719065,	80.3308,	6.19961,	2.12703,	0.00478872,	3.30606,	0.561936,	17.1907,	4.86314e-06,	0.0273913,	0.0273913,	666,	0.344754,	38.6705,	0.344754,	38.6705,	0.000508811,	0.012347,	7.99384,	0.0122991,	7.96282,	1.4933e-05,	1.10322,	0,	1000,	1.50603e+09,	0,	0,	1.37797,	56.93,	31233.8,	0,	964,	13,	0.9,	0,	0.9,	0,	5.09,	5627.34,	1.00734,	5626.33,	5.06,	nan,	3.79537,	3.79537,	237.03,	16.97,	81194.8,	16.82,	0,	
607,	14,	6,	30,	0,	0.39969,	40.1357,	0.39969,	40.1357,	0.000500002,	0,	0.795689,	8.089e-05,	0.494935,	0.625328,	0.686591,	0.236565,	0.680551,	80.806,	2.00129,	2.98987,	18.7598,	4.74637,	0.854847,	16.8055,	0,	0,	0,	666,	0.338932,	38.8817,	0.338932,	38.8817,	0.000516172,	0.00873096,	7.65126,	0.00869708,	7.62158,	8.98308e-06,	1.07085,	0,	1000,	1.50603e+09,	0,	0,	0.954374,	76.5,	31838.1,	0,	893,	14,	1,	0,	0.92,	0,	9.29,	5722.24,	1.00779,	5721.23,	9.2,	nan,	3.79537,	3.79537,	237.03,	26.26,	86917,	26.02,	0,	
626,	15,	6,	47,	0.000480067,	0.0165477,	9.65314,	0.0165477,	9.65314,	9.93273e-06,	0,	0.169404,	0.00587618,	0.540042,	0.000508969,	0.722868,	0.231195,	0.712002,	52.6232,	2.09402,	3.08008,	0.0152691,	4.89147,	0.846793,	17.12,	0,	0,	0,	666,	0.27464,	39.569,	0.27464,	39.569,	0.000497312,	0.00956623,	7.67468,	0.00952911,	7.6449,	3.28205e-06,	0.704851,	0,	1000,	1.50603e+09,	0,	0,	1.55359,	76.6,	34596.8,	0,	947,	15,	0.99,	0,	0.73,	0,	7.82,	6227.74,	1.0081,	6226.73,	7.78,	nan,	3.79537,	3.79537,	237.03,	34.08,	93144.7,	33.8,	0,	
