postionInDataBase,	memberNumber,	created,	ParetoRank,	distToRegOfInt,	fitness0,	flowparam0,	flowparam1,	flowparam2,	flowparam3,	scaled_WB.CA,	scaled_WB.SD,	scaled_WB.SH,	scaled_WB.FA,	scaled_WB.FH,	scaled_WB.FW,	scaled_WB.P,	WB.CA,	WB.SD,	WB.SH,	WB.FA,	WB.FH,	WB.FW,	WB.P,	AGdivTime,	AreaGain,	AreaGain_currentObjectives,	MEMBEROPTIMIZATIONFLAG,	MM_fit0,	MM_flowparam0,	MM_flowparam1,	MM_flowparam2,	MMdev_fit0,	MMdev_flowparam0,	MMdev_flowparam1,	MMdev_flowparam2,	MMexpImpr,	MetaModel,	NUOFMEMBEREXPIMPR,	TimeStamp,	UDP_Name,	VarianceExpImpr2ROI,	VarianceMMexpImpr,	cpuSecondsCreated6,	cpuSecondsUDP,	expImpr2ROI,	numbMembCreatedOfBest,	numberWhenCreated,	probOfFullfillROI,	probOfImpROI,	probOfImpr,	remainingProcesses,	secondsCreated6,	secondsUDP,	timeOfProcess0,	timeOfProcess1,	timeOptiOnMMofBest,	timeTraining,	cumulativeVolumeGain,	cumulativeVolumeGain_currentObjectives,	cumTimeTraining,	cumTimeOptiOnMM,	cumTimeUDP,	cumTimeOptiOnMMofBest,	fidelity,	
460,	168,	6,	459,	0,	0.353815,	0.353815,	71.4362,	0.000500558,	0,	0.377455,	0.132383,	0.218838,	0.961565,	0.719324,	0.515299,	0.986265,	61.9855,	4.11813,	2.43768,	28.8469,	4.8773,	1.27295,	19.8626,	0,	0,	nan,	666,	0.0192632,	0.0192632,	38.2721,	0.000523361,	0.0453321,	0.0451562,	16.8134,	1.26931e-05,	0.0314873,	0,	1000,	1.50647e+09,	nan,	0,	0.00282605,	219.58,	66991.1,	0,	982,	168,	0.68,	0,	0.43,	0,	24.68,	11998.3,	1.00919,	11997.3,	24.67,	nan,	0.742923,	0.736233,	3818.04,	1839.59,	1.6184e+06,	1831.37,	0,	
416,	169,	6,	415,	0,	0.345545,	0.345545,	58.8609,	0.000500026,	0,	0.340788,	0.125833,	0.173468,	0.692275,	0.370346,	0.579702,	0.989853,	60.3355,	4.01333,	2.34694,	20.7683,	3.48139,	1.36955,	19.8985,	0,	0,	nan,	666,	0.0824972,	0.0824972,	42.5089,	0.000532794,	0.074925,	0.0746343,	22.1211,	2.94031e-05,	0.0136971,	0,	1000,	1.50648e+09,	nan,	0,	0.00165847,	219.88,	64957.4,	0,	995,	169,	0.79,	0,	0.21,	0,	23.99,	11691,	1.01582,	11690,	23.99,	nan,	0.742923,	0.736233,	3818.04,	1863.58,	1.6301e+06,	1855.36,	0,	
530,	170,	6,	529,	0.000134471,	0.226427,	0.226427,	89.3796,	0.000355529,	0,	0.00735672,	0.0435444,	0.180684,	0.0540404,	0.177394,	0.0633446,	0.992151,	45.3311,	2.69671,	2.36137,	1.62121,	2.70958,	0.595017,	19.9215,	0,	0,	nan,	666,	0.0734496,	0.0734496,	61.1787,	0.000439168,	0.119819,	0.119354,	28.4403,	5.55875e-05,	0.0053105,	0,	1000,	1.50648e+09,	nan,	0,	0.000677446,	224.2,	65317.9,	0,	932,	170,	0.16,	0,	0.07,	0,	26.18,	11770,	1.00824,	11769,	26.12,	nan,	0.742923,	0.736233,	3818.04,	1889.76,	1.64187e+06,	1881.48,	0,	
381,	171,	6,	381,	0,	0.342051,	0.342051,	64.3889,	0.000501343,	0,	0.110579,	0.0843953,	0.0230718,	0.330651,	0.548292,	0.286884,	0.983859,	49.9761,	3.35032,	2.04614,	9.91954,	4.19317,	0.930326,	19.8386,	0,	0,	nan,	666,	0.036062,	0.036062,	31.9493,	0.000441716,	0.0847646,	0.0844357,	28.4912,	6.27967e-05,	0.00471712,	0,	1000,	1.50648e+09,	nan,	0,	0.000351373,	217.13,	65957.2,	0,	700,	171,	0.13,	0,	0.07,	0,	21.61,	11859.2,	1.01426,	11858.2,	21.34,	nan,	0.742923,	0.736233,	3818.04,	1911.37,	1.65372e+06,	1902.82,	0,	
394,	172,	6,	393,	0,	0.343491,	0.343491,	55.7604,	0.000500157,	0,	0.545007,	0.103789,	0.7068,	0.198307,	0.167742,	0.877953,	0.683385,	69.5253,	3.66062,	3.4136,	5.94922,	2.67097,	1.81693,	16.8339,	0,	0,	nan,	666,	0.0679038,	0.0679038,	57.5416,	0.000658706,	0.0658781,	0.0656224,	25.5809,	4.64907e-05,	0.0872447,	0,	1000,	1.50648e+09,	nan,	0,	0.00760464,	2507.58,	57677.8,	0,	863,	172,	0.84,	0,	0.64,	0,	275.97,	10345.3,	1.02546,	10344.3,	2.8,	273.04,	0.742923,	0.736233,	4091.08,	1914.3,	1.66407e+06,	1905.62,	0,	
259,	173,	6,	259,	0,	0.329238,	0.329238,	57.3431,	0.000500977,	0,	0.327541,	0.0867492,	0.586436,	0.171891,	0.19601,	0.575647,	0.647639,	59.7393,	3.38799,	3.17287,	5.15674,	2.78404,	1.36347,	16.4764,	0,	0,	nan,	666,	0.0791143,	0.0791143,	38.0503,	0.000596172,	0.0660087,	0.0657526,	21.8671,	2.35731e-05,	0.042182,	0,	1000,	1.50649e+09,	nan,	0,	0.00458513,	224.24,	54598.5,	0,	960,	173,	0.89,	0,	0.48,	0,	24.72,	9811.93,	1.00864,	9810.92,	24.69,	nan,	0.742923,	0.736233,	4091.08,	1939.02,	1.67388e+06,	1930.31,	0,	
471,	174,	6,	470,	0,	0.35644,	0.35644,	85.7288,	0.000500001,	0,	0.607836,	0.109234,	0.578202,	0.669206,	0.889578,	0.518938,	0.978621,	72.3526,	3.74775,	3.1564,	20.0762,	5.55831,	1.27841,	19.7862,	0,	0,	nan,	666,	0.0660673,	0.0660673,	35.1181,	0.000567424,	0.0705509,	0.0702771,	18.6206,	5.3206e-05,	0.0244714,	0,	1000,	1.50649e+09,	nan,	0,	0.00245456,	225.77,	67600.9,	0,	939,	174,	0.74,	0,	0.36,	0,	25.51,	12103.6,	1.01161,	12102.6,	25.45,	nan,	0.742923,	0.736233,	4091.08,	1964.53,	1.68599e+06,	1955.76,	0,	
245,	175,	6,	245,	0,	0.327735,	0.327735,	49.5121,	0.000500044,	0,	0.536258,	0.0622042,	0.747802,	0.21066,	0.32312,	0.756245,	0.212269,	69.1316,	2.99527,	3.4956,	6.3198,	3.29248,	1.63437,	12.1227,	0,	0,	nan,	666,	0.0585455,	0.0585455,	53.6771,	0.000527204,	0.0476249,	0.0474401,	12.8407,	3.37284e-05,	0.0201607,	0,	1000,	1.50649e+09,	nan,	0,	0.00207029,	223.56,	46538.1,	0,	993,	175,	0.76,	0,	0.33,	0,	24.01,	8366.47,	1.0111,	8365.46,	24,	nan,	0.742923,	0.736233,	4091.08,	1988.54,	1.69435e+06,	1979.76,	0,	
171,	176,	6,	171,	0,	0.317987,	0.317987,	50.1975,	0.000500485,	0,	0.415197,	0.0961933,	0.99992,	0.104986,	0.0071679,	0.721001,	0.267242,	63.6839,	3.53909,	3.99984,	3.14958,	2.02867,	1.5815,	12.6724,	0,	0,	nan,	666,	0.0463784,	0.0463784,	62.8966,	0.000534683,	0.0266228,	0.0265195,	21.7645,	1.89371e-05,	0.0776477,	0,	1000,	1.50649e+09,	nan,	0,	0.00419035,	225.24,	38352.1,	0,	970,	176,	0.95,	0,	0.84,	0,	24.99,	7015.13,	1.00874,	7014.12,	24.95,	nan,	0.742923,	0.736233,	4091.08,	2013.53,	1.70137e+06,	2004.71,	0,	
382,	177,	6,	382,	0,	0.3421,	0.3421,	71.7901,	0.000500075,	0,	0.552599,	0.151147,	0.602829,	0.812084,	0.650758,	0.955639,	0.992976,	69.867,	4.41836,	3.20566,	24.3625,	4.60303,	1.93346,	19.9298,	0,	0,	nan,	666,	0.0241286,	0.0241286,	119.962,	0.000563787,	0.133472,	0.132954,	11.792,	4.39374e-05,	0.00690003,	0,	1000,	1.5065e+09,	nan,	0,	0.000827519,	228.26,	69824.2,	0,	801,	177,	0.57,	0,	0.16,	0,	25.5,	12516.7,	1.00815,	12515.7,	25.32,	nan,	0.742923,	0.736233,	4091.08,	2039.03,	1.71388e+06,	2030.03,	0,	
