postionInDataBase,	memberNumber,	created,	ParetoRank,	distToRegOfInt,	fitness0,	flowparam0,	flowparam1,	flowparam2,	flowparam3,	scaled_WB.CA,	scaled_WB.SD,	scaled_WB.SH,	scaled_WB.FA,	scaled_WB.FH,	scaled_WB.FW,	scaled_WB.P,	WB.CA,	WB.SD,	WB.SH,	WB.FA,	WB.FH,	WB.FW,	WB.P,	AGdivTime,	AreaGain,	AreaGain_currentObjectives,	MEMBEROPTIMIZATIONFLAG,	MM_fit0,	MM_flowparam0,	MM_flowparam1,	MM_flowparam2,	MMdev_fit0,	MMdev_flowparam0,	MMdev_flowparam1,	MMdev_flowparam2,	MMexpImpr,	MetaModel,	NUOFMEMBEREXPIMPR,	TimeStamp,	UDP_Name,	VarianceExpImpr2ROI,	VarianceMMexpImpr,	cpuSecondsCreated6,	cpuSecondsUDP,	expImpr2ROI,	numbMembCreatedOfBest,	numberWhenCreated,	probOfFullfillROI,	probOfImpROI,	probOfImpr,	remainingProcesses,	secondsCreated6,	secondsUDP,	timeOfProcess0,	timeOfProcess1,	timeOptiOnMMofBest,	timeTraining,	cumulativeVolumeGain,	cumulativeVolumeGain_currentObjectives,	cumTimeTraining,	cumTimeOptiOnMM,	cumTimeUDP,	cumTimeOptiOnMMofBest,	fidelity,	
397,	0,	0,	398,	0,	0.450249,	0.450249,	30.7477,	0.000589623,	0,	0.5,	0.5,	0.5,	0.5,	0.5,	0.5,	0.5,	67.5,	10,	3,	15,	4,	1.25,	15,	9.44271e-05,	0.549751,	0.549751,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50601e+09,	0,	nan,	nan,	nan,	32460.6,	nan,	nan,	nan,	nan,	nan,	nan,	0,	nan,	5821.96,	1.00555,	5820.95,	nan,	nan,	0.549751,	0.549751,	0,	0,	5821.96,	0,	0,	
409,	1,	0,	410,	0,	0.46852,	0.46852,	37.708,	0.000624999,	0,	0.333333,	0.222222,	0.555556,	0.333333,	0.555556,	0.666667,	1,	60,	5.55556,	3.11111,	10,	4.22222,	1.5,	20,	0,	0,	0,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50601e+09,	0,	nan,	nan,	nan,	37945.1,	nan,	nan,	1,	nan,	nan,	nan,	0,	nan,	6758.45,	1.00613,	6757.44,	nan,	nan,	0.549751,	0.549751,	0,	0,	12580.4,	0,	0,	
293,	2,	0,	294,	0,	0.404762,	0.404762,	36.0025,	0.000515386,	0,	0.222222,	0.444444,	0.666667,	0.666667,	0.888889,	0,	0.333333,	55,	9.11111,	3.33333,	20,	5.55556,	0.5,	13.3333,	7.5572e-06,	0.045487,	0.045487,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50601e+09,	0,	nan,	nan,	nan,	33733.3,	nan,	nan,	2,	nan,	nan,	nan,	0,	nan,	6019.03,	1.04247,	6017.99,	nan,	nan,	0.595238,	0.595238,	0,	0,	18599.4,	0,	0,	
405,	3,	0,	406,	0,	0.466188,	0.466188,	27.8344,	0.00057885,	0,	0.111111,	0.888889,	0.888889,	0.111111,	0.777778,	0.444444,	0.444444,	50,	16.2222,	3.77778,	3.33333,	5.11111,	1.16667,	14.4444,	0,	0,	0,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50601e+09,	0,	nan,	nan,	nan,	32596.2,	nan,	nan,	3,	nan,	nan,	nan,	0,	nan,	5835.06,	1.00761,	5834.05,	nan,	nan,	0.595238,	0.595238,	0,	0,	24434.5,	0,	0,	
375,	4,	0,	376,	0,	0.435581,	0.435581,	22.2051,	0.000559017,	0,	0.444444,	0.333333,	0,	0.555556,	0.222222,	0.333333,	0,	65,	7.33333,	2,	16.6667,	2.88889,	1,	10,	0,	0,	0,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50602e+09,	0,	nan,	nan,	nan,	23817.2,	nan,	nan,	4,	nan,	nan,	nan,	0,	nan,	4303.77,	1.01291,	4302.75,	nan,	nan,	0.595238,	0.595238,	0,	0,	28738.3,	0,	0,	
619,	5,	0,	620,	0.00048344,	0.0114233,	0.0114233,	40.7131,	6.55983e-06,	0,	0,	0.111111,	1,	0.888889,	0.111111,	0.111111,	0.888889,	45,	3.77778,	4,	26.6667,	2.44444,	0.666667,	18.8889,	0,	0,	0,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50602e+09,	0,	nan,	nan,	nan,	34123.3,	nan,	nan,	5,	nan,	nan,	nan,	0,	nan,	6096.06,	1.01607,	6095.05,	nan,	nan,	0.595238,	0.595238,	0,	0,	34834.3,	0,	0,	
398,	6,	0,	399,	0,	0.451599,	0.451599,	20.6288,	0.000600926,	0,	0.777778,	1,	0.222222,	0.222222,	0,	0.555556,	0.222222,	80,	18,	2.44444,	6.66667,	2,	1.33333,	12.2222,	0,	0,	0,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50602e+09,	0,	nan,	nan,	nan,	17601.3,	nan,	nan,	6,	nan,	nan,	nan,	0,	nan,	3273.51,	1.01243,	3272.49,	nan,	nan,	0.595238,	0.595238,	0,	0,	38107.8,	0,	0,	
402,	7,	0,	403,	0,	0.459493,	0.459493,	32.1373,	0.000625001,	0,	0.555556,	0.555556,	0.777778,	0,	0.444444,	0.888889,	0.555556,	70,	10.8889,	3.55556,	0,	3.77778,	1.83333,	15.5556,	0,	0,	0,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50602e+09,	0,	nan,	nan,	nan,	33473.2,	nan,	nan,	7,	nan,	nan,	nan,	0,	nan,	5995.26,	1.01403,	5994.25,	nan,	nan,	0.595238,	0.595238,	0,	0,	44103.1,	0,	0,	
403,	8,	0,	404,	0,	0.462437,	0.462437,	42.0965,	0.000541668,	0,	0.888889,	0.666667,	0.444444,	1,	1,	0.222222,	0.777778,	85,	12.6667,	2.88889,	30,	6,	0.833333,	17.7778,	0,	0,	0,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50602e+09,	0,	nan,	nan,	nan,	37412.3,	nan,	nan,	8,	nan,	nan,	nan,	0,	nan,	6734.79,	1.01509,	6733.78,	nan,	nan,	0.595238,	0.595238,	0,	0,	50837.9,	0,	0,	
722,	9,	0,	637,	10000,	10001,	9999.12,	9999.12,	9999.12,	1,	0.666667,	0,	0.111111,	0.777778,	0.333333,	1,	0.111111,	75,	2,	2.22222,	23.3333,	3.33333,	2,	11.1111,	0,	0,	0,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50602e+09,	0,	nan,	nan,	nan,	31108.9,	nan,	nan,	9,	nan,	nan,	nan,	1,	nan,	5643.4,	1.01566,	5642.39,	nan,	nan,	0.595238,	0.595238,	0,	0,	56481.3,	0,	0,	
