postionInDataBase,	memberNumber,	created,	ParetoRank,	distToRegOfInt,	fitness0,	fitness1,	flowparam0,	flowparam1,	flowparam2,	flowparam3,	scaled_WB.CA,	scaled_WB.SD,	scaled_WB.SH,	scaled_WB.FA,	scaled_WB.FH,	scaled_WB.FW,	scaled_WB.P,	WB.CA,	WB.SD,	WB.SH,	WB.FA,	WB.FH,	WB.FW,	WB.P,	AGdivTime,	AreaGain,	AreaGain_currentObjectives,	MEMBEROPTIMIZATIONFLAG,	MM_fit0,	MM_fit1,	MM_flowparam0,	MM_flowparam1,	MM_flowparam2,	MMdev_fit0,	MMdev_fit1,	MMdev_flowparam0,	MMdev_flowparam1,	MMdev_flowparam2,	MMexpImpr,	MetaModel,	NUOFMEMBEREXPIMPR,	TimeStamp,	UDP_Name,	VarianceExpImpr2ROI,	VarianceMMexpImpr,	cpuSecondsCreated6,	cpuSecondsUDP,	expImpr2ROI,	numbMembCreatedOfBest,	numberWhenCreated,	probOfFullfillROI,	probOfImpROI,	probOfImpr,	remainingProcesses,	secondsCreated6,	secondsUDP,	timeOfProcess0,	timeOfProcess1,	timeOptiOnMMofBest,	timeTraining,	cumulativeVolumeGain,	cumulativeVolumeGain_currentObjectives,	cumTimeTraining,	cumTimeOptiOnMM,	cumTimeUDP,	cumTimeOptiOnMMofBest,	fidelity,	
485,	0,	0,	16,	0,	0.354828,	47.925,	0.354828,	47.925,	0.000500031,	0,	0.5,	0.5,	0.5,	0.5,	0.5,	0.5,	0.5,	67.5,	10,	3,	15,	4,	1.25,	15,	4.16446e-06,	0.0400477,	0.0400477,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50602e+09,	0,	nan,	nan,	nan,	54017.9,	nan,	nan,	nan,	nan,	nan,	nan,	0,	nan,	9616.54,	1.01727,	9615.52,	nan,	nan,	0.0400477,	0.0400477,	0,	0,	9616.54,	0,	0,	
557,	1,	0,	22,	0,	0.362762,	44.83,	0.362762,	44.83,	0.000500155,	0,	0.111111,	0.777778,	0.111111,	0.333333,	1,	0.888889,	0,	50,	14.4444,	2.22222,	10,	6,	1.83333,	10,	0,	0,	0,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50601e+09,	0,	nan,	nan,	nan,	48242.9,	nan,	nan,	1,	nan,	nan,	nan,	0,	nan,	8586.66,	1.00539,	8585.66,	nan,	nan,	0.0400477,	0.0400477,	0,	0,	18203.2,	0,	0,	
588,	2,	0,	36,	0.000420124,	0.0505679,	87.9367,	0.0505679,	87.9367,	6.98757e-05,	0,	0.666667,	0,	0.555556,	1,	0,	0.222222,	1,	75,	2,	3.11111,	30,	2,	0.833333,	20,	0,	0,	0,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50602e+09,	0,	nan,	nan,	nan,	60325.2,	nan,	nan,	2,	nan,	nan,	nan,	0,	nan,	10754.9,	1.00531,	10753.9,	nan,	nan,	0.0400477,	0.0400477,	0,	0,	28958.1,	0,	0,	
558,	3,	0,	22,	0,	0.369742,	40.7587,	0.369742,	40.7587,	0.0005,	0,	0.444444,	0.111111,	0.333333,	0.222222,	0.111111,	0,	0.333333,	65,	3.77778,	2.66667,	6.66667,	2.44444,	0.5,	13.3333,	0,	0,	0,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50601e+09,	0,	nan,	nan,	nan,	42187.9,	nan,	nan,	3,	nan,	nan,	nan,	0,	nan,	7577.37,	1.0054,	7576.36,	nan,	nan,	0.0400477,	0.0400477,	0,	0,	36535.4,	0,	0,	
551,	4,	0,	21,	0,	0.362527,	39.812,	0.362527,	39.812,	0.000500155,	0,	0.777778,	0.888889,	0.888889,	0.777778,	0.222222,	0.333333,	0.444444,	80,	16.2222,	3.77778,	23.3333,	2.88889,	1,	14.4444,	6.81032e-05,	0.633597,	0.633597,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50602e+09,	0,	nan,	nan,	nan,	52015.6,	nan,	nan,	4,	nan,	nan,	nan,	0,	nan,	9303.49,	1.00738,	9302.48,	nan,	nan,	0.673645,	0.673645,	0,	0,	45838.9,	0,	0,	
577,	5,	0,	25,	0,	0.382214,	67.0381,	0.382214,	67.0381,	0.000500138,	0,	1,	0.444444,	1,	0.555556,	0.888889,	0.111111,	0.777778,	90,	9.11111,	4,	16.6667,	5.55556,	0.666667,	17.7778,	0,	0,	0,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50603e+09,	0,	nan,	nan,	nan,	59612.2,	nan,	nan,	5,	nan,	nan,	nan,	0,	nan,	10672.9,	1.00766,	10671.9,	nan,	nan,	0.673645,	0.673645,	0,	0,	56511.8,	0,	0,	
459,	6,	0,	15,	0,	0.349014,	59.5921,	0.349014,	59.5921,	0.0005,	0,	0.555556,	0.555556,	0.222222,	0.111111,	0.555556,	0.444444,	0.888889,	70,	10.8889,	2.44444,	3.33333,	4.22222,	1.16667,	18.8889,	0,	0,	0,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50603e+09,	0,	nan,	nan,	nan,	63567.2,	nan,	nan,	6,	nan,	nan,	nan,	0,	nan,	11369.2,	1.01462,	11368.2,	nan,	nan,	0.673645,	0.673645,	0,	0,	67881.1,	0,	0,	
460,	7,	0,	15,	0,	0.35061,	49.3749,	0.35061,	49.3749,	0.000500155,	0,	0.222222,	1,	0.444444,	0.444444,	0.666667,	0.666667,	0.555556,	55,	18,	2.88889,	13.3333,	4.66667,	1.5,	15.5556,	6.1558e-06,	0.0623256,	0.0623256,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50603e+09,	0,	nan,	nan,	nan,	56521.8,	nan,	nan,	7,	nan,	nan,	nan,	0,	nan,	10124.7,	1.13167,	10123.6,	nan,	nan,	0.735971,	0.735971,	0,	0,	78005.8,	0,	0,	
442,	8,	0,	14,	0,	0.343879,	49.2841,	0.343879,	49.2841,	0.000500163,	0,	0,	0.333333,	0.666667,	0.888889,	0.777778,	0.777778,	0.111111,	45,	7.33333,	3.33333,	26.6667,	5.11111,	1.66667,	11.1111,	1.46806e-05,	0.13748,	0.13748,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50603e+09,	0,	nan,	nan,	nan,	52125.5,	nan,	nan,	8,	nan,	nan,	nan,	0,	nan,	9364.75,	1.01335,	9363.74,	nan,	nan,	0.873451,	0.873451,	0,	0,	87370.5,	0,	0,	
199,	9,	0,	6,	0,	0.331566,	56.0706,	0.331566,	56.0706,	0.000500076,	0,	0.888889,	0.222222,	0.777778,	0,	0.333333,	1,	0.666667,	85,	5.55556,	3.55556,	0,	3.33333,	2,	16.6667,	1.0433e-05,	0.103906,	0.103906,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	nan,	1.50604e+09,	0,	nan,	nan,	nan,	55409.7,	nan,	nan,	9,	nan,	nan,	nan,	0,	nan,	9959.38,	1.00983,	9958.37,	nan,	nan,	0.977356,	0.977356,	0,	0,	97329.9,	0,	0,	
