postionInDataBase,	memberNumber,	created,	ParetoRank,	distToRegOfInt,	fitness0,	fitness1,	flowparam0,	flowparam1,	flowparam2,	flowparam3,	scaled_WB.CA,	scaled_WB.SD,	scaled_WB.SH,	scaled_WB.FA,	scaled_WB.FH,	scaled_WB.FW,	scaled_WB.P,	WB.CA,	WB.SD,	WB.SH,	WB.FA,	WB.FH,	WB.FW,	WB.P,	AGdivTime,	AreaGain,	AreaGain_currentObjectives,	MEMBEROPTIMIZATIONFLAG,	MM_fit0,	MM_fit1,	MM_flowparam0,	MM_flowparam1,	MM_flowparam2,	MMdev_fit0,	MMdev_fit1,	MMdev_flowparam0,	MMdev_flowparam1,	MMdev_flowparam2,	MMexpImpr,	MetaModel,	NUOFMEMBEREXPIMPR,	TimeStamp,	UDP_Name,	VarianceExpImpr2ROI,	VarianceMMexpImpr,	cpuSecondsCreated6,	cpuSecondsUDP,	expImpr2ROI,	numbMembCreatedOfBest,	numberWhenCreated,	probOfFullfillROI,	probOfImpROI,	probOfImpr,	remainingProcesses,	secondsCreated6,	secondsUDP,	timeOfProcess0,	timeOfProcess1,	timeOptiOnMMofBest,	timeTraining,	cumulativeVolumeGain,	cumulativeVolumeGain_currentObjectives,	cumTimeTraining,	cumTimeOptiOnMM,	cumTimeUDP,	cumTimeOptiOnMMofBest,	fidelity,	
52,	503,	6,	3,	0,	0.436202,	21.6839,	0.436202,	21.6839,	0.000593858,	0,	0.989181,	0.798436,	0.106552,	0.540693,	0.0224232,	0.00472014,	0.00667641,	89.5131,	14.775,	2.2131,	16.2208,	2.08969,	0.50708,	10.0668,	0,	0,	nan,	666,	0.436162,	20.5828,	0.436162,	20.5828,	8.84041e+06,	0.345409,	1.07504,	0.344068,	1.07087,	4.45014e+08,	0.722774,	0,	1000,	1.50677e+09,	nan,	0,	4.60419,	468.4,	27678.6,	0,	967,	503,	0.42,	0,	0.26,	0,	40,	5173.78,	1.02212,	5172.75,	39.96,	nan,	9.05798,	8.92022,	20615.9,	15762.1,	2.77679e+06,	15721,	0,	
393,	504,	6,	15,	0,	0.448705,	22.1145,	0.448705,	22.1145,	0.000585727,	0,	0.282754,	0.919578,	0.0898729,	0.800402,	0.0930719,	0.0149433,	0.00163047,	57.7239,	16.7133,	2.17975,	24.0121,	2.37229,	0.522415,	10.0163,	0,	0,	nan,	666,	0.292206,	20.1476,	0.292206,	20.1476,	-1.10948e+06,	0.177403,	1.38999,	0.176714,	1.3846,	2.00058e+08,	0.985689,	0,	1000,	1.50677e+09,	nan,	0,	3.83785,	466.02,	28611.9,	0,	966,	504,	0.48,	0,	0.4,	0,	40.64,	5340.78,	1.00994,	5339.77,	40.59,	nan,	9.05798,	8.92022,	20615.9,	15802.8,	2.78213e+06,	15761.6,	0,	
331,	505,	6,	12,	0,	0.430983,	25.9277,	0.430983,	25.9277,	0.000624999,	0,	0.477504,	0.578646,	0.26561,	0.257681,	0.0341433,	0.943019,	0.0315353,	66.4877,	11.2583,	2.53122,	7.73043,	2.13657,	1.91453,	10.3154,	0,	0,	nan,	666,	0.0593304,	21.9955,	0.0593304,	21.9955,	1.86122e+07,	0.0440319,	3.9374,	0.043861,	3.92212,	4.70428e+08,	2.25963,	0,	1000,	1.50677e+09,	nan,	0,	10.0474,	4703.62,	27851.8,	0,	967,	505,	0.48,	0,	0.42,	0,	542.81,	5193.55,	1.0085,	5192.54,	12.1,	530.66,	9.05798,	8.92022,	21146.6,	15814.9,	2.78732e+06,	15773.7,	0,	
196,	506,	6,	7,	0,	0.430611,	24.3821,	0.430611,	24.3821,	0.000625001,	0,	0.597043,	0.58442,	0.343767,	0.0241366,	0.0311234,	0.736008,	0.0183266,	71.8669,	11.3507,	2.68753,	0.724097,	2.12449,	1.60401,	10.1833,	0,	0,	nan,	666,	0.0455138,	23.3286,	0.0455138,	23.3286,	1.85783e+07,	0.0153706,	3.52991,	0.015311,	3.51621,	4.69921e+08,	1.67768,	0,	1000,	1.50678e+09,	nan,	0,	9.84962,	616.34,	36353.8,	0,	914,	506,	0.52,	0,	0.38,	0,	68.9,	6641.59,	1.01321,	6640.58,	68.68,	nan,	9.05798,	8.92022,	21146.6,	15883.8,	2.79396e+06,	15842.4,	0,	
531,	507,	6,	25,	0,	0.459323,	22.6189,	0.459323,	22.6189,	0.000624999,	0,	0.513249,	0.938636,	0.0547752,	0.830586,	0.0885712,	0.495277,	0.0045746,	68.0962,	17.0182,	2.10955,	24.9176,	2.35428,	1.24292,	10.0457,	0,	0,	nan,	666,	0.322544,	19.7443,	0.322544,	19.7443,	1.85505e+07,	0.286261,	3.38105,	0.28515,	3.36793,	4.69415e+08,	0.797052,	0,	1000,	1.50678e+09,	nan,	0,	2.78633,	612.04,	28586.2,	0,	963,	507,	0.46,	0,	0.34,	0,	66.14,	5280.68,	1.01153,	5279.67,	66.06,	nan,	9.05798,	8.92022,	21146.6,	15950,	2.79924e+06,	15908.4,	0,	
406,	508,	6,	16,	0,	0.439577,	23.101,	0.439577,	23.101,	0.000535086,	0,	0.772088,	0.679555,	0.228096,	0.423122,	0.110117,	0.091286,	0.0133191,	79.7439,	12.8729,	2.45619,	12.6937,	2.44047,	0.636929,	10.1332,	0,	0,	nan,	666,	0.121114,	19.2987,	0.121114,	19.2987,	1.84545e+07,	0.130208,	2.30344,	0.129703,	2.29451,	4.68909e+08,	1.02281,	0,	1000,	1.50678e+09,	nan,	0,	3.34064,	515.33,	32385.7,	0,	995,	508,	0.42,	0,	0.32,	0,	46.76,	5919.93,	1.01105,	5918.91,	46.75,	nan,	9.05798,	8.92022,	21146.6,	15996.7,	2.80516e+06,	15955.2,	0,	
601,	509,	6,	43,	0.000480212,	0.0125771,	78.5782,	0.0125771,	78.5782,	9.78774e-06,	0,	0.371311,	0.0260436,	0.920682,	0.678312,	0.0439582,	0.000979398,	0.0348105,	61.709,	2.4167,	3.84136,	20.3494,	2.17583,	0.501469,	10.3481,	0,	0,	nan,	666,	0.16897,	19.2543,	0.16897,	19.2543,	1.84792e+07,	0.186553,	6.02216,	0.18583,	5.99879,	4.68409e+08,	1.34183,	0,	1000,	1.50678e+09,	nan,	0,	7.30701,	617.31,	40833.9,	0,	994,	509,	0.42,	0,	0.32,	0,	67.92,	7420.16,	1.00914,	7419.15,	67.91,	nan,	9.05798,	8.92022,	21146.6,	16064.7,	2.81258e+06,	16023.1,	0,	
600,	510,	6,	42,	0.000480078,	0.0125688,	90.2827,	0.0125688,	90.2827,	9.92205e-06,	0,	0.38283,	0.0294857,	0.998198,	0.645196,	0.0457255,	0.00845412,	0.00569239,	62.2273,	2.47177,	3.9964,	19.3559,	2.1829,	0.512681,	10.0569,	0,	0,	nan,	666,	0.223058,	18.624,	0.223058,	18.624,	1.84377e+07,	0.192473,	5.90967,	0.191726,	5.88674,	4.67908e+08,	1.00415,	0,	1000,	1.50679e+09,	nan,	0,	5.06546,	618.53,	41047.4,	0,	989,	510,	0.51,	0,	0.33,	0,	67.87,	7440.98,	1.0084,	7439.97,	67.85,	nan,	9.05798,	8.92022,	21146.6,	16132.5,	2.82002e+06,	16091,	0,	
373,	511,	6,	14,	0,	0.438569,	23.591,	0.438569,	23.591,	0.000624999,	0,	0.831987,	0.764107,	0.137152,	0.149719,	0.0218775,	0.747523,	0.00717869,	82.4394,	14.2257,	2.2743,	4.49158,	2.08751,	1.62128,	10.0718,	0,	0,	nan,	666,	0.0663289,	21.5864,	0.0663289,	21.5864,	1.79908e+07,	0.104555,	3.79304,	0.10415,	3.77833,	4.67346e+08,	0.924399,	0,	1000,	1.50678e+09,	nan,	0,	5.07366,	524.66,	38281.8,	0,	820,	511,	0.41,	0,	0.23,	0,	47.79,	6930.99,	1.00862,	6929.98,	47.56,	nan,	9.05798,	8.92022,	21146.6,	16180.3,	2.82695e+06,	16138.5,	0,	
355,	512,	6,	13,	0,	0.434693,	26.2915,	0.434693,	26.2915,	0.000587442,	0,	0.505107,	0.359138,	0.0263885,	0.902517,	0.114253,	0.0422521,	0.0136257,	67.7298,	7.7462,	2.05278,	27.0755,	2.45701,	0.563378,	10.1363,	0,	0,	nan,	666,	0.212811,	19.2932,	0.212811,	19.2932,	1.79902e+07,	0.215621,	5.38765,	0.214784,	5.36675,	4.66831e+08,	0.918167,	0,	1000,	1.50678e+09,	nan,	0,	6.02222,	470.57,	33328.3,	0,	918,	512,	0.42,	0,	0.23,	0,	42.32,	6148.16,	1.01059,	6147.15,	42.18,	nan,	9.05798,	8.92022,	21146.6,	16222.6,	2.8331e+06,	16180.7,	0,	
348,	513,	6,	13,	0,	0.441527,	22.1011,	0.441527,	22.1011,	0.000624999,	0,	0.884569,	0.5739,	0.0243496,	0.0244396,	0.0292364,	0.507415,	0.00159811,	84.8056,	11.1824,	2.0487,	0.733187,	2.11695,	1.26112,	10.016,	0,	0,	nan,	666,	0.0684908,	21.4286,	0.0684908,	21.4286,	1.80153e+07,	0.0598254,	1.821,	0.0595933,	1.81393,	4.66388e+08,	2.52267,	0,	1000,	1.50679e+09,	nan,	0,	25.2318,	619.38,	28767.4,	0,	544,	513,	0.47,	0,	0.33,	0,	67.89,	5324.83,	1.00895,	5323.82,	67.02,	nan,	9.05798,	8.92022,	21146.6,	16290.5,	2.83843e+06,	16247.7,	0,	
126,	514,	6,	5,	0,	0.429669,	23.1628,	0.429669,	23.1628,	0.000537885,	0,	0.348061,	0.554469,	0.333196,	0.61136,	0.0447606,	0.0861354,	0.000251441,	60.6627,	10.8715,	2.66639,	18.3408,	2.17904,	0.629203,	10.0025,	0,	0,	nan,	666,	0.0613562,	21.463,	0.0613562,	21.463,	1.81732e+07,	0.0477823,	2.12465,	0.0475969,	2.11641,	4.65919e+08,	2.40654,	0,	1000,	1.50679e+09,	nan,	0,	23.6574,	625.78,	35017.6,	0,	857,	514,	0.46,	0,	0.35,	0,	71.71,	6373.37,	1.01368,	6372.36,	71.38,	nan,	9.05798,	8.92022,	21146.6,	16362.2,	2.8448e+06,	16319.1,	0,	
637,	515,	6,	47,	10000,	10001,	10001,	9999.12,	9999.12,	9999.12,	1,	0.712512,	0.533319,	0.267412,	0.999726,	0.00907363,	0.643859,	0.000797672,	77.063,	10.5331,	2.53482,	29.9918,	2.03629,	1.46579,	10.008,	0,	0,	nan,	666,	0.465977,	17.4831,	0.465977,	17.4831,	1.18979e+07,	0.638339,	4.67728,	0.635862,	4.65913,	4.49136e+08,	0.833416,	0,	1000,	1.50679e+09,	nan,	0,	9.73748,	3971.69,	725.09,	0,	956,	515,	0.26,	0,	0.2,	1,	319.58,	541.131,	1.02394,	540.103,	6.99,	312.53,	9.05798,	8.92022,	21459.1,	16369.3,	2.84534e+06,	16326.1,	0,	
396,	516,	6,	15,	0,	0.43275,	28.234,	0.43275,	28.234,	0.000604246,	0,	0.314961,	0.186606,	0.115667,	0.819169,	0.0875609,	0.0127575,	0.00245572,	59.1732,	4.9857,	2.23133,	24.5751,	2.35024,	0.519136,	10.0246,	0,	0,	nan,	666,	0.23751,	24.1409,	0.23751,	24.1409,	1.94796e+07,	0.128298,	8.10884,	0.1278,	8.07738,	5.04372e+08,	1.34611,	0,	1000,	1.50679e+09,	nan,	0,	7.45146,	475.64,	30483.2,	0,	988,	516,	0.51,	0,	0.35,	0,	41.55,	5629.76,	1.00963,	5628.75,	41.53,	nan,	9.05798,	8.92022,	21459.1,	16410.8,	2.85097e+06,	16367.6,	0,	
385,	517,	6,	15,	0,	0.440296,	22.5012,	0.440296,	22.5012,	0.000537147,	0,	0.338475,	0.56428,	0.0141228,	0.113417,	0.0827753,	0.0874767,	0.00746067,	60.2314,	11.0285,	2.02825,	3.40251,	2.3311,	0.631215,	10.0746,	0,	0,	nan,	666,	0.426986,	11.367,	0.426986,	11.367,	5.03496e+06,	0.298432,	3.49397,	0.297274,	3.48041,	3.10595e+08,	2.10801,	0,	1000,	1.50679e+09,	nan,	0,	10.9847,	615.53,	28688.6,	0,	983,	517,	0.46,	0,	0.44,	0,	66.12,	5335.38,	1.00812,	5334.37,	66.08,	nan,	9.05798,	8.92022,	21459.1,	16477,	2.85631e+06,	16433.7,	0,	
346,	518,	6,	13,	0,	0.438977,	22.2601,	0.438977,	22.2601,	0.000597347,	0,	0.300281,	0.539526,	0.000875551,	0.282945,	0.0778331,	0.000441693,	0.00506862,	58.5126,	10.6324,	2.00175,	8.48835,	2.31133,	0.500663,	10.0507,	0,	0,	nan,	666,	0.440433,	11.8628,	0.440433,	11.8628,	1.16635e+07,	0.603281,	3.12027,	0.60094,	3.10816,	4.72116e+08,	1.03386,	0,	1000,	1.50679e+09,	nan,	0,	8.70824,	626.3,	27892.8,	0,	961,	518,	0.28,	0,	0.22,	0,	69.16,	5182.77,	1.00854,	5181.76,	69.08,	nan,	9.05798,	8.92022,	21459.1,	16546.1,	2.86149e+06,	16502.8,	0,	
